	Sample	Condition	Time	Batch
S13A	S13A	case	72	B_NULL
S13B	S13B	case	72	B_NULL
S14A	S14A	case	77	B_NULL
S14B	S14B	case	77	B_NULL
S15A	S15A	case	80	B_NULL
S15B	S15B	case	80	B_NULL
S17A	S17A	case	87	B_NULL
S17B	S17B	case	87	B_NULL
S18A	S18A	case	90	B_NULL
S18B	S18B	case	90	B_NULL
S19A	S19A	case	96	B_NULL
S19B	S19B	case	96	B_NULL
S19plusA	S19plusA	case	104	B_NULL
S19plusB	S19plusB	case	104	B_NULL
S20A	S20A	case	112	B_NULL
S20B	S20B	case	112	B_NULL
S21A	S21A	case	120	B_NULL
S21B	S21B	case	120	B_NULL
S22A	S22A	case	132	B_NULL
S22B	S22B	case	132	B_NULL
S23A	S23A	case	144	B_NULL
S23B	S23B	case	144	B_NULL
S24A	S24A	case	155	B_NULL
S24B	S24B	case	155	B_NULL
S25A	S25A	case	168	B_NULL
S25B	S25B	case	168	B_NULL
S26A	S26A	case	180	B_NULL
S26B	S26B	case	180	B_NULL
S27A	S27A	case	192	B_NULL
S27B	S27B	case	192	B_NULL
